Key,English,Chinese
show_xpubs,Show XPUBs,展示拓展公钥
wallet_addresses,Wallet Addresses,钱包地址
delete_wallet,Delete wallet,删除钱包
delete_tips,Delete wallet from Fingo Desktop?,将钱包从Fingo桌面端删除？
common_yes,Yes,是的
bitcoin_address,Bitcoin Addresses,比特币地址
error_1202,Invalid Address,地址不合法
error_network,"Network error, check your network and try again",网络错误，请检查网络后重试
error_1304,Invalid invitation code,邀请码无效
error_1306,"The wallet is full, can’t join it anymore.",钱包已满员，无法加入
error_1302,"Can’t add more addresses, there are already 20 unused addresses",无法增加更多地址，当前已有20个未使用地址
error_1401,"{{value}} is under maintenance now, please try again after the maintenance",{{value}}正在维护中，请再维护完成后再尝试
error_1101,"Server error, please try again later",服务器错误，请稍后重试
error_1301,Incorrect payment password,支付密码错误
error_202,"Request too frequent, please try again later",请求过于频繁，请稍后再试
error_1307,"The corresponding shared wallet already exists, please import in another device",该私钥对应的共享钱包已存在，请换一台设备导入
error_1402,The token contract does not allow this transaction,该代币合约不允许发送该交易
common_back,Back,返回
common_loading,Loading,加载中…
common_sending,Sending,发送中…
common_ok,OK,好的
common_none,None,无
common_search,Search,搜索
common_notice,Notice,提示
common_normal,Normal,常规地址
common_segwit,Segwit,隔离见证
common_path,Path,路径
gas_higher_tips,Gas should be higher than {{value}},Gas值不能小于{{value}}
gasp_lower_tips,"Gas Price too high, better be less than 100 gwei",Gas Price太高，建议小于100 gwei
gasp_higher_tips,"Gas Price too low, should be higher than 1 gwei",Gas Price太低，建议大于1 gwei
tips_transaction_send,Transaction Sent,发送成功
tips_transaction_failed,Transaction failed to send,发送失败
dust_tips,"Small dust input in the wallet, not all funds can be sent.",钱包中有少量Dust余额，无法发送所有资金
mail_address_tips,You can also use the following email address to contact us,您可复制下方地址，直接联系我们
search_add_tips,Search for 500+ ETH tokens,搜索500+以太坊代币
new_address_tips,A new address has been generated,新地址已经生成
none_balance_tips,No address has a balance,没有地址有余额
normal_address_tips,Turn off Segwit Address in Home -> Me to use normal address ,在首页->我的将隔离见证地址关闭，就可以使用常规地址了
seg_wit_tips,"After turned on, the default receiving address of current wallets and future wallets will be segwit address",开启之后，当前所有钱包以及新建钱包的默认收款地址将使用隔离见证地址
