Key,Chinese,English,
fee_level_supereco,超级经济,Super Economy,
fee_custom,自定义,Customize,
fee_low_notice,费用过低，确认会非常慢,"This fee is too low, might take long to confirm",
fee_high_notice,费用不得高于{{value}},The fee should be below {{value}},
send_pay_confirm_title,请输入支付密码,Enter Payment Password,
send_pay_confirm_button,确认支付,Confirm Payment,
toast_incorrect_password,密码错误,Incorrect Password,
toast_try_again_in,{{value}} 分钟后再试,Try again in {{value}}  minutes,
receive_current_address,当前地址,Current Address,
receive_address_copied,地址已复制,Address Copied to Clipboard,
transaction_detail,交易详情,Transaction Detail,
transaction_detail_pay_address,付款地址,Payment Address,
transaction_detail_fee,交易验证者费,Transaction Validator Fee,
transaction_detail_confirmations,确认块数,Confirmed Blocks,
transaction_detail_timestamp,交易时间,Transaction Date,
transaction_detail_memo,备注,Memo,
transaction_detail_view_more,查看更多,View More,
me_manage_wallets,管理钱包,Manage Wallets,
me_push,推送通知,Push Notifications,
me_currency,计价货币,Currency,
me_language,语言,Language,
me_lock_app,锁定应用,Lock App,
me_about,关于,About,
me_share,分享,Share,
me_wallet_name,钱包名,Wallet Name,
me_wallet_password,设置交易密码,Set Transaction Password,
me_wallet_delete,删除钱包,Delete Wallet,
me_wallet_name_desc,修改钱包名称，便于区分不同钱包,Modify the wallet name to distinguish different wallets,
common_sace,保存,Save,
me_wallet_password_desc,添加密码后，在查看助记词等重要信息及转账时将需要此密码确认,After adding the password you will be required to enter it to view important information and perform transactions.,
me_wallet_password_change,修改交易密码,Change Transaction Password,
me_wallet_password_old,旧密码,Old Password,
me_wallet_password_new,新密码,New Password,
me_wallet_password_confirm,确认新密码,Confrim New Password,
me_wallet_delete_title,警告,Warning,
me_wallet_delete_desc1,此操作无法撤销,This operation can not be undone,
me_wallet_delete_desc2,删除之前，请确认你已经备份了钱包助记词，否则钱包内的资金可能永远丢失,"Please make sure you have backed up your mnemonics, or your assets in this wallet may lose forever",
me_wallet_delete_popup_desc,确认要删除这个钱包吗？,Are you sure you want to delete this wallet?,
common_confirm_pw,确认密码后继续,Confirm your transaction password to proceed,
contacts_view,查看联系人,View Contact,
contact_delete,删除联系人,Delete Contact,
me_about_help,帮助,Help,
me_about_feedback,意见反馈,Feedback,
me_about_faq,常见问题,FAQ,
me_about_policy,隐私政策,Privacy Policy,
me_about_terms,服务条款,Terms of Service,
me_about_version,版本,Version,
me_about_feedback_tips,请写下您的宝贵建议,Write down your valuable feeback,
feedback_mailtitle,用户反馈,User Feedback,
me_currency_desc,请勾选在首页可快捷切换的货币，最多可选择5种,"Please select currencies for quick switch at Wallet, 5 at most",
me_lock_app_desc,添加锁定应用密码后，启动应用需要解锁，其他人将无法随意查看到你的资产,"Add a lock app password, launch the app requires password confirmation, therefore other people will not be able to see your funds freely",
me_lock_app_no,不锁定,Do not Lock,
me_lock_app_pin,数字密码,Use PIN,
me_lock_app_fingerprint,指纹锁定,Use Fingure Print,
me_lock_app_pin_desc,设置锁定应用密码,Set Lock App Password,
common_pin_unlock_desc,输入密码解锁,Enter password to unlock,
home_back_up_tips,未备份,Not Backed up,
tips_transaction_pw_set,为保证您的资金安全，请设置交易密码,"To protect your funds, please set a transaction password",
eth_send_confirm_gas,Gas,Gas,
eth_send_confirm_gasprice,Gas Price,Gas Price,
eth_send_confirm_data,十六进制数据,Hexadecimal Data,
common_loading,加载中…,Loading,
common_sending,转账中…,Sending,
hint_enter_address,输入地址,Enter Address,
hint_enter_name,输入名称,Enter Name,
hint_enter_amount,输入数额,Enter Amount,
hint_enter_rate,输入费率,Enter Rate,
hint_enter_password,输入密码,Enter Password,
hint_enter_old_password,输入旧密码,Enter Old Password,
hint_enter_new_password,输入新密码,Enter New Password,
hint_repeat_new_password,重复新密码,Repeat New Password,
wallet_token_add_new,添加你的虚拟币,Add your first Coin,
wallet_empty_tips_title,创建你的钱包,Create Your Wallet,
wallet_empty_create_button,创建钱包,Create Wallet,
wallet_empty_tips,还没有钱包，立即创建钱包管理你的虚拟币,"You have no wallet yet, create a wallet to manage your tokens",
send_request_fp,请求指纹…,Requesting fingerprint…,
password_limit,密码至少需要8位字符,Password should be 8 characters or more,
memonic_confirmed_toast,助记词确认成功,Mnemonic words confirmed,
error_network,网络错误，请检查网络后重试,"Network error, check your network and try again",
backup_extra_password,添加密码后，恢复钱包时，必须同时使用助记词和助记词密码,"If you add a password, you will need to use both the mnemonic words and password to restore your wallet",
start_agree_terms,使用Fingo即表示你同意我们的{{value}},"By using Fingo, you agree to our {{value}}",
import_wallet_name,命名钱包,Name your wallet,
receive_set_amount,{{value}} 数额,Amount of {{value}},
loading_fees,计算费用…,Calculating Fee…,
advanced_testnet,测试网络,Testnet,
loading_home,同步中…,Synchronizing…,
import_mw_tips,请输入您的助记词，并以空格分开每个单词,Please enter your mnemonics with spaces between words,
import_mw_invalid,助记词不合法,Invalid mnemonic words,
import_name_wallet,命名你的新钱包，以便区分不同钱包,Name this wallet to distinguish it from other wallet,
mw_quantity,选择助记词数量,Select mnemonic words quantities,
send_payee,收款人,Payee,
send_to,至,To,
contacts_empty_tips,未保存任何地址,No Saved Address,
system_require_update,需要升级,Update Required,
system_bulletin,维护公告,Maintenance Bulletin,
system_update_available,升级可用,Update Available,
system_update_required_desc,请更新到至少版本{{value}} 以继续使用{{name}} ，当前版本可能会导致交易失败,"Update to at least version {{value}}  to continue use {{name}} , the current version may cause failures in transactions",
general_desc_update,Bug修复和体验优化,Bug fixes and performance improvements,
general_desc_title,更新内容,What's New,
me_share_title,分享Fingo,Share Fingo,
receive_specify_amount,指定金额,Specify amount,
create_advanced_testnet,测试专用网络,"Testing network, for test only",
status_create_wallet,正在创建钱包…,Creating Wallet…,
more_confirm_passphrase,确认助记词密码,Confirm Your Password,
transaction_none,暂无交易,No Transactions,
send_add_contact,添加联系人,Add Contact,
common_password,密码,Password,
common_date,日期,Date,
Common_next,下一步,Next,
mw_password_title,助记词密码,Mnemonic Words Password,
mw_password_skip,没有设置密码可跳过,Skip if you haven't set a password,
common_done,完成,Done,
set_transpw_title,交易密码,Transaction Password,
password_input,请输入,Input here,
tips_pw_set_success,密码设置成功,Password set successfully,
tips_pw_update_success,密码修改成功,Password has been updated,
add_contact_coins,币种,Coin Type,
add_contact_coins_select,选择,Select,
unlock_fingerprint,点击验证指纹,Tap to verify your fingerprint,
import_wallet_exist,钱包已存在,Wallet already existed,
contact_modify_name,修改名称,Modify Name,
contact_delete_alert,确认要删除这个联系人吗？,Are you sure you want to delete this contact?,
about_feedback_sent,反馈已提交,Feedback Sent,
me_currency_last_toast,请保留至少一种货币,Please keep at least one currency,
tips_transaction_send,{{value}} 发送成功,{{value}} send successfully,
tips_transaction_failed,{{value}} 发送失败,{{value}}  failed to send,
name_taken,名称已经用于一个地址，换一个吧,"This name has been taken by an address, use another one",
address_saved,地址已保存,Address already saved before,
receive_add_address,添加地址…,Adding Address…,
new_shared_wallet,创建共享钱包,Create Shared Wallet,
join_shared_wallet,加入共享钱包,Join Shared Wallet,
shared_nickname,昵称,Your Nickname,
shared_admins,总管理员数,Total Number of Admins,
shared_signs,所需签名数,Required Number of Signatures,
shared_invite_title,分享邀请码邀请钱包管理员,Share this invitation code to invite admins,
shared_invite_code,邀请码,Invitation Code,
shared_admin_list,管理员列表,Admin List,
common_waiting,等待加入…,Waiting…,
shared_cancel_invite,取消邀请,Cancel Invitation,
shared_cancel_tips,取消邀请会删除这个钱包，确定要取消吗？,"Cancel Invitation will delete this wallet, are you sure?",
shared_invite_tips,邀请码怎么使用？,How to Use Invitation Code?,
shared_invite_tips0,让你的朋友：,Tell your friend to:,
shared_invite_tips1,使用Fingo扫描邀请码二维码,Use Fingo to scan the QR code,
shared_invite_tips2,或前往添加钱包->加入共享钱包->输入邀请码,Or go to Add Wallet -> Join Shared Wallet -> enter the invitation code,
join_paste_code,粘贴邀请码,Paste invitation code,
common_join,加入,Join,
error_1304,邀请码无效,Invalid invitation code,
error_1306,钱包已满员，无法加入,"The wallet is full, can’t join it anymore.",
shared_create,创建付款提议,CREATE PROPOSAL,
common_reject,拒绝,Reject,
common_proposal,付款提议,Proposal,
transactions_creator,创建人,Creator,
transactions_time,时间线,Time Line,
timeline_accepted,已接受,Accepted,
timeline_created,创建,Created,
timeline_rejected,已拒绝,Rejected,
proposal_admin_delete,距离提议创建已经24小时，你现在可以选择删除此提议,"24 hours has passed, you can now delete the proposal",
proposal_delete,删除提议,Delete Proposal,
common_accept,接受,Accept,
proposal_broadcasted_tips,此交易已经被广播,The transaction has already been broadcasted,
timeline_broadcasted,已广播,Broadcasted,
proposal_reject_notice,你确认要拒绝此付款提议吗？,Are you sure you want to reject this proposal?,
proposal_rejecting,拒绝中…,Rejecting,
tstp_now,刚刚,Just Now,
tstp_minute,{{value}}分钟前,{{value}} minutes ago,
tstp_hour,{{value}}小时前,{{value}} hours ago,
tstp_day,{{value}}天前,{{value}} days ago,
delete_proposal_notice,删除提议意味着永久取消本次交易，你确认要删除吗？,"Delete proposal means cancel this transaction once and for all, are you sure?",
proposal_deleting,删除中…,Deleting,
proposal_signing,签名交易中…,Signing Transaction…,
proposal_creator_delete,在有其他管理员同意之前，你可随时删除提议,You can delete this proposal before anyone accept it,
proposal_lock_balance,锁定资金：,Locked Balance:,
shared_config_info,钱包配置,Wallet Configuration,
dust_tips,钱包中有少量Dust余额，无法发送所有资金,"Small dust input in the wallet, not all funds can be sent.",
send_address_save,保存地址,Save Address,
send_to_address,转账给,Send to,
common_not_select,未选择,None selected,
common_scan,扫描,Scan,
common_select_coin,选择币种,Select Coin,
tab_prices,行情,Prices,
txn_moved,迁移,Moved,
common_bottom,到底咯~,It’s the bottom ~,
common_pull_refresh,下拉刷新,Pull down to refresh,
common_update,立即更新,Update Now,
error_1302,无法增加更多地址，当前已有20个未使用地址,"Can’t add more addresses, there are already 20 unused addresses",
error_1401,{{value}}正在维护中，请再维护完成后再尝试,"{{value}} is under maintenance now, please try again after the maintenance",
error_1101,服务器错误，请稍后重试,"Server error, please try again later",
error_1301,支付密码错误,Incorrect payment password,
language_en,英,En,
language_zh,中,Zh,
password_check,检查密码中…,Checking Password…,
error_202,请求过于频繁，请稍后再试,"Request too frequent, please try again later",
address_not_match,您输入的地址与选择的币种不一致,The address you enter does not match selected coin type,
create_failed,创建钱包失败，请重试,"Failed to create wallet, please try again",
import_failed,导入钱包失败，请重试,"Failed to import wallet, please try again",
timestmp_today,今天,Today,
timestmp_yesterday,昨天,Yesterday,
err_403,与服务端建立连接失败，请输入密码重试,"Failed to establish connection with server, please enter your password to reconnect",
ins_miner_fee,余额不足以支付验证者费,Insufficient balance for the validator fee,
confirming_lock,确认中的交易导致部分余额被锁定，请稍后再尝试发送,"Part of your balance has been locked because of transactions in confirmation, please try sending again later",
common_ok,好的,OK,
common_none,无,None,
common_edit,编辑联系人,Edit Contact,
common_copy,已复制,Copied to Clipboard,
mail_address_tips,您可复制下方地址，直接联系我们,You can also use the following email address to contact us,
new_proposal,新提议,New proposals,
proposal_sending,转账中…,Sending,
common_search,搜索,Search,
noti_center,消息通知,Notifications,
income_noti,入账通知,Income Notification,
noti_trans_failed,转账失败,Transaction Failed ,
noit_new_proposal,新提议,New Proposal,
common_notice,提示,Notice,
noti_receiced_content,您的钱包{{name}}入账{{value}},Your wallet {{name}}  received {{value}} ,
send_failed,转账{{value}}的交易失败，请重试,"The transaction to send {{value}} is failed, please try again",
noti_proposal,{{creator}}创建了一个从{{name}}发送{{value}}的新提议,{{creator}} created a new proposal to send {{value}} from shared wallet {{name}},
proposal_deleted,提议已经被删除,The proposal has been deleted ,
noti_none,暂无通知,No notifications,
contact_us,联系我们,Contact us,
fingo_support,Fingo客服,Fingo Support,
error_1307,该私钥对应的共享钱包已存在，请换一台设备导入,"The corresponding shared wallet already exists, please import in another device",
shared_wallet_n,创建{{value}}钱包,Create {{value}} Wallet,
common_incomplete,未完成,Incomplete,
create_by,创建人,Created by,
remove_warning,您还有{{value}} {{coin}}剩余，确认要隐藏{{coin}}吗？,"You have {{value}} {{coin}} left, are you sure you want to hide {{coin}}?",
not_match,地址与所选币种不匹配,The address does not match selected coin type,
wallet_single,单地址钱包,Single Address Wallet,
common_available,可用余额,Available Balance,
option_once,复制地址,Copy Address,
addresses_balance,有余额地址,Addresses with balance,
addresses_none_balance,无余额地址,Addresses without balance,
camer_access,Fingo没有相册权限,Fingo does not have access to  your Camera Roll,
seg_wit_tips,开启之后，当前所有钱包以及新建钱包的默认收款地址将使用隔离见证地址,"After turned on, the default receiving address of current wallets and future wallets will be segwit address",
wallet_address,钱包地址,Wallet Addresses,
more_info,更多信息,More Information,
wallet_tyoe,钱包类型,Wallet Type,
wallet_config,钱包配置,Wallet Configuration,
single_address,单地址,Single Address,
extended_pub,拓展公钥,Extended Public Key,
common_path,路径,Path,
reload_balance,同步地址余额,Sync Address Balance ,
slides1_title,掌控您的资产,Control of Your Asset,
slides1_tip,没有私钥(助记词)，任何人都无法获取您的资产,No one can access your assets without the private key(mnemonic words) ,
slides1_action,一定要备份助记词啊,Be sure to back up mnemonic words ,
slides2_title,安全高于一切,Security is Everything ,
slides2_tip,Fingo为您提供了四种额外的安全措施来保护资产,Fingo provided four kinds of extra security measures for you to protect assets,
slides2_action,可按需选择,Choose what you need,
slides2_button,我知道了,I See,
slides3_title,您的意见最重要,Your Opinion is Valuable,
slides3_tip,我们希望Fingo成为用户真正需要的产品，也珍视每个用户的意见,"We want Fingo to be a product users really need, and we value every user’s opinion",
slides3_action,欢迎联系我们,Feel free to contact us,
slides3_button,我会的,I Will,
attempts_left,还可再试{{value}}次,{{value}} attempts left,
common_skip,跳过,Skip,
pic_no_pr,图片上没有二维码信息,There is no QR code on the picture,
common_album,相册,Album,
view_all,查看所有,View All,
common_on,开启,On,
common_off,关闭,Off,
live_chat,转人工,Live Chat,
common_robot,转机器,Robot,
request_timeout,请求超时，请稍后重试,"Request timeout, please try again later",
error_1402,该代币合约不允许发送该交易,The token contract does not allow this transaction,
common_description,商品描述,Description,
common_broadcasting,广播中…,Broadcasting…,
security_center,安全中心,Security Center,
common_telegram,Telegram,Telegram ,
robot_service,智能客服,Robot customer service,
necessary_measure,必要操作,Necessary Measures,
back_wallets,备份钱包,Back Up Wallets,
set_lock_app,设置锁定应用密码,Set Lock App Pin,
recommend_measure,推荐操作,Recommended Measures,
rm_no1,添加助记词密码,Add a mnemonic words passphrase,
rm_no2,使用硬件钱包,Use hardware wallet ,
rm_no3,使用多签钱包,Try Multi-signature Wallet,
security_status,系统安全状态,System Security Status,
contract_verify,虚假合约地址检测,False contract address identification,
key_security,私钥安全性,Private key security,
address_verify,转账地址验证,Transfer address verification,
transfer_verify,转账过程保护,Transfer process protection,
rm_no3_desc,"多签钱包拥有多个私钥，可以分散资金风险
进入添加钱包 > 创建钱包，然后邀请您的朋友加入钱包","Multi-sig wallet has several private keys, it spares risks
Go to Add wallet > Create shared wallet, and ask your friends to join your wallet",
wallet_authorize,钱包授权,Wallet Authorization,
common_allow,允许,Allow,
not_set,未设置,Not Set,
try_again,重试,Try again,
transaction_sent,交易已发送，等待确认,"Transaction sent, waiting for confirmations",
keyboard_return,收起,Return,
keyboard_space,空格,Space,
common_status,状态,Status,
common_confirmed,已确认,Confirmed,
common_records,记录,Records,
complete_pic,滑动完成拼图,Slide to complete the picture,
send_from,转自,Send from,
common_today,今天,Today,
common_tomorrow,明天,Tomorrow,
trans_fee,交易费,Transaction Fee,
txn_type,交易类型,Transaction type,
func_imp_toast,功能还在开发中O(∩_∩)O~,This feature is still under developmentO(∩_∩)O~,
issue_info,发行信息,Issuance Info,
password_desc,支付密码将用于保护您的私钥(助记词)，密码将只在本设备保存和使用,"The payment password will be used to protect your private key(mnemonics), it will be saving and using only at this device.",
created_done,创建成功,Wallet Created,
created_tips,可以立即体验Pipay钱包了，记得要去备份助记词噢,"You can now using the Pipay wallet, don’t forget to back up the mnemonics later.",
enter_wallet,进入Pipay钱包,Enter Pipay,
what_key,什么是私钥,What is private key?,
what_key_ans,私钥即是您的资产，可以理解为私钥=银行卡号+银行卡密码，所以一定要备份并保管好您的私钥，本钱包为用户提供了便于记录的私钥形式——助记词,"Private key means your asset, you can see the private key as bank account + account password, so you must back up and protect your private key, Pipay has provided an easier way to record private key —— mnemonics",
common_home,首页,Home,
new_asset,收到新资产,New Asset Received,
asvbtc_address,Asimov-BTC地址,Asimov-BTC Address,
btc_address,BTC地址,BTC Address,
payment_confirm,付款确认中,Payment confirming,
transfer_confirming,转账确认中,Transfer confirming,
receive_confirming,收款确认中,Receive confirming,
password_title,请设置支付密码以保护您的私钥和资产,Please set a payment password to protect your private key and asset,
back_up_notice,请先备份,Please Back Up ,
notice_desc,为了您的资产安全，在收付款之前，请先完成助记词备份,"For the safety of your asset, please back up your mnemonics before sending and receiving assets",
back_up,去备份,Back up,
hide_tips,您可以将需要的资产显示在首页，对不需要的资产可以点击“忽略”以隐藏,"You can display needed assets at the home, and hide those you don’t need",
common_display,显示,Display,
common_hide,隐藏,Hide,
common_received,收到{{value}},Received,
asset_display,资产页展示,Assets Choose to display,
asset_hided,隐藏的资产,Assets hided from home page,
manage_asset,整理资产,Manage Asset,
specify_asset_amount,指定币种与金额,Specify asset and amount,
seletc_asset,选择币种,Select Asset,
clear_amount,清除指定,Clear Specified,
search_asset,搜索币种,Search Asset,
recent_transfer,最近转账 ,Recent transfers,
scan_tips,请扫描对方收款二维码,Please scan the QR code of the receipt,
mn_explain,助记词是钱包便于备份和记录的一种特殊形式私钥,Mnemonics is a special form of private key which is easier to record and back up,
password_explain,密码会用于加密保护您的助记词和资产，因此查看助记词或者转账付款时，需要您先输入密码确认,"The payment password will be used to encrypt your private key and asset, so you have to enter it  before check the mnemonics or make payment",
forgot_password,忘记旧密码？,Forgot the old password?,
forgot_password_tips,在您助记词已经备份的情况下，您可以重新安装应用，不需要旧密码，就可使用助记词直接登录,"If you have backed up your mnemonics, you can reinstall Pipay and use mnemonics to login without the old password ",
intro_security,资产安全,Asset Secured,
intro_sec_desc,私钥自持   多重加密   随时备份恢复,Multiple encryption and easy backup&restore,
set_payment_pw,设置支付密码,Payment Password,
chac_tips,至少6个字符,6 characters at least,
confirm_import,确认导入,Confirm Import,
common_total,总资产(PI),Total(PI),
intes_pay,可领取利息,Interest Payable,
_7day_annual,近七日年化,7-day Annual,
common_get,领取,Get,
cross_payment,跨链收款,Cross-chain Receive,
cross_invest,跨链资产也可参与Asimov链內投资,Asset of other chains can invest on Asimov,
org_cross,Cross-chain Reserve,Cross-chain Reserve,
common_giving,送 {{value}},Get {{value}},
ending_tips,距离 {{value}} 结束还剩 {{value1}} 天,{{value}} ending in {{value1}} days ,
asc_equity,ASC 权益,ASC Equities,
equity_tips,质押ASC，参与链上治理,"Pledge ASC, join the chain governance",
asc_fda,Asimov Foundation,Asimov Foundation,
_7day_annual1,七日年化,7-day Annual,
pledge_status,当前质押 {{value}}，已委托 {{value1}},"Current pledge  {{value}}, delegated  {{value1}}",
yes_profit,昨日验证收益,Yesterday’s Earnings,
total_profit,累计收益,Total Earnings,
get_pi,质押借PI,Pledge to Get PI,
fixed_invest,定投,Fixed Invest,
pledge_get_pi,质押获得PI,Pledge to get PI,
common_orders,我的订单,Orders,
common_pledge,质押,Pledge,
pledge_rate_value,质押率 {{value}},Pledge Rate {{value}},
new_user,新人获赠 {{value}},Newbie get {{value}},
limit_benifit,限量福利，先到先得！,"Limited benefits, first come first serve!",
would_buy,我要买,I’ll Buy,
amount_num,数量,Amount,
common_limit,限额,Limit,
common_buy,买入,Buy,
fixed_invest_coin,{{value}} 定投,{{value}} Fixed Invest,
week_day,每周 周一,Weekly Mon.,
his_return_rate,历史收益率,Historical return rate,
total_amount,累积金额,Total Amount,
people_joined,{{value}}人加入,{{value}} have joined,
people_investd,已投{{value}}期,Invested {{value}} Term,
coin_receive_spc,收款 {{value}},Receive {{value}},
trans_status,交易状态,Transaction Status,
verify_password,验证密码,Verify Password,
full_name,全称,Full Name,
total_supply,发行总量,Total Supply,
issue_org,发行组织,Issuance Organization,
org_address,组织地址,Organization Address,
regi_date,注册时间,Registration Date,
official_site,官方网站,Official Website,
txn_desc,交易描述,Txn Description,
asc_btc_desc,Asimov链的BTC收款地址，仅能接收来自Asimov链的BTC,The BTC address of Asimov can only receive asset from other Asimov BTC address,
gen_btc_dsc,常规BTC地址可以接收来自非Asimov链的BTC转账,The regular BTC address can receive BTC send from general BTC address(none Asimov address),
common_package,打包中…,Packaging…,
my_wallets,我的钱包,My Wallets,
wallet_info,钱包详情,Wallet Information,
wallet_pw,钱包密码,Wallet Password,
wallet_mn,钱包助记词,Wallet Mnemonics,
import_old,导入已有钱包,Import Old Wallet,
create_new,创建新钱包,Create New Wallet,
record_mn,记录助记词,Record Mnemonics,
tab_service,服务,Service,
tab_message,消息,Message,
tab_im,社交,IM,
中文,中文,中文,
英文,English,English,
input_tips_mnemonic,请输入助记词,Please enter your mnemonics,
old_password_error,旧密码错误！,Incorrect old password!,
tab_home,首页,Home,
input_tips_amount,输入金额,Enter amount,
less_min_amount,小于最小转账金额,Less than the minimum transfer amount,
transfer_record,交易记录,Transactions,
no_transfer_info,暂无记录,No records,
not_asset,您输入的地址与选择的币种不一致,The address you enter does not match selected coin type,
notice_done,确定,Done,
me_wallet_detail,钱包详情,Wallet Information,
notification_read,全部已读,All read,
home_exchange,兑换,Exchange,
me_back_up_tip,已备份,Backed up,
common_transfer,转账,Send,
wallet_re_pw,重置密码,Reset Password,
receive_specify_amount1,指定金额,Specify amount,
scan_tips2,请扫描对方收款二维码,Please scan the QR code of the receipt,
all_coin,全部币种,All Assets,
seven_day_annual,近七日年化,7-day Annual,
confirm_transfer,确认付款,Confirm Payment,
cross_chain,风控处理中,Risk control processing,
coin_receive1,{{value}} 收款,Receive {{value}},
back_up_success,备份成功,Backup success,
app_name,Pipay,Pipay,
tab_asset,资产,Asset,
about,关于,About,
cancel,取消,Cancel ,
confirm,确认,Confirm ,
rationale_camera,此功能需要获取您的相机权限,This feature requires access to your camera ,
no_qrcode,未发现二维码,No QR code found,
scan_err,扫描出错,Scan error,
transfer_succ,转账成功,Transfer successfully ,
balance_not_enough,资产余额不足,Insufficient balance,
pwd_error,密码输入错误,Incorrect Password,
save,保存,Save ,
scan_result,扫描结果,Result ,
add_remark,添加备注,Add a note ,
transfer_confirm,确认付款,Confirm Payment,
merchant_features,商家功能,Merchant Features ,
exchange,兑换,Exchange ,
ok,确定,OK,
check_mne_code_err,助记词无效,Invalid mnemonic words,
gen_mne_code_failed,生成助记词失败,Failed to generate mnemonic,
reset_pay_passphrase,重置支付密码,Reset Payment Password ,
common_asset,资产,Asset,
empty_data,暂无记录,No records,
begin_backup,开始备份,Start Backup ,
title_mne_code_backup,备份助记词,Backup mnemonics,
wallet_security,钱包安全,Wallet security,
wallet_pwd,钱包密码,Wallet password,
reset_pwd,重置密码,Reset password ,
verify_pay_pwd,验证支付密码,Verify payment password ,
wrong_pwd,密码不正确,Incorrect password ,
version,版本,Version,
backup_succ,备份成功,Backup success,
search_coin,搜索币种,Search coin,
wrong_input,输入错误,Input error,
second_format,%s秒,%s sec,
saved,已保存,Saved,
saved_failed,保存失败,Fail to save,
no_match_asset,无指定资产,No matching assets,
change_env,切换环境,Change env,
got_it,知道了,Got it,
default_wallet,我的第一个钱包,My first wallet,
wrong_address,地址错误,Incorrect Address,
notification_center,通知中心,Notification Center,
all_read,全部已读,All read,
pledge_for_PI,质押 {{value}}借{{value1}},Pledge {{value}} for {{value1}},
Pledge_amount,质押数量,Pledge amount,
pledge_rate,质押率,Pledge rate,
Pledge_amount_tips,请输入您想用于质押的{{value}}数量,Please enter the amount of {{value}} you would like to pledge,
loan_amount_tips,请输入您想借的PI数量,Please enter the amount of PI you want to loan,
pi_amount,借PI金额,Amount of PI,
current_an_fee,当前年化费率,Current Annual Fee,
liqui_fee,清算罚金,Liquidation Fee,
start_loan,开始借PI,Pledge to Get PI,
txn_amount,交易金额,Transaction Amount,
loan_detail,质押借PI详情,Loan Detail,
current_status,当前状态,Current Status,
loan_overview,借PI概览,Loan Overview,
total_pledge,总质押资产,Total Pledge,
total_loan,总借(PI),Total Loan(PI),
current_pledge_rate,当前质押率,Current Pledge Rate,
current_rate,当前费率,Current Rate,
loan_history,操作记录,Loan History,
create_order,创建借款订单,Create Loan Order,
manage_loan,管理借款,Manage Loan,
common_deposit,存{{value}},Deposit {{value}},
common_withdraw,取{{value}},Withdraw {{value}},
loan_pi,借 PI,Loan PI,
